Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",94.455000,-63.025000,0.000000,top
"C2","100n","C_0402_1005Metric",103.275000,-66.500000,-90.000000,top
"C3","100n","C_0402_1005Metric",99.730000,-74.990000,180.000000,top
"C4","100n","C_0402_1005Metric",91.050000,-65.775000,90.000000,top
"C5","10u","C_0603_1608Metric",94.425000,-61.325000,0.000000,top
"C6","10n","C_0402_1005Metric",90.925000,-69.980000,90.000000,top
"C7","1u","C_0402_1005Metric",90.420000,-73.457500,180.000000,top
"C8","1u","C_0402_1005Metric",90.445000,-74.982500,180.000000,top
"C9","100n","C_0402_1005Metric",94.800000,-75.200000,0.000000,top
"C10","10p","C_0402_1005Metric",89.575000,-68.025000,90.000000,top
"C11","10p","C_0402_1005Metric",89.600000,-70.100000,90.000000,top
"C12","22u","C_0805_2012Metric",106.175000,-71.275000,0.000000,top
"C13","22u","C_0805_2012Metric",111.000000,-77.000000,90.000000,top
"D1","RED","LED_0603_1608Metric",114.390000,-77.170000,-90.000000,top
"FB1","120R","L_0603_1608Metric",92.190000,-74.217500,-90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",82.000000,-82.000000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",117.500000,-82.000000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",82.000000,-55.000000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",117.500000,-55.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",116.490000,-67.740000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",110.810000,-54.250000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",97.010000,-54.250000,-90.000000,top
"R1","10k","R_0402_1005Metric",85.910000,-61.050000,90.000000,top
"R2","1k5","R_0402_1005Metric",108.100000,-67.250000,-90.000000,top
"R3","1k5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",114.402500,-74.500000,180.000000,top
"R4","1k5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",92.570000,-79.000000,180.000000,top
"R5","1k5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",95.097500,-79.000000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",81.500000,-62.500000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",97.000000,-69.000000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",106.000000,-77.000000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",86.750000,-68.950000,-90.000000,top
